YEAR,MO,DY,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_SW_DWN,T2M,QV2M,PRECTOTCORR,WD10M
2019,5,9,8.04,0.61,324.99,123.14,145.77,16.02,0.37,6.71,16.91,7.63,0,250.12
2019,5,10,8.06,0.66,316.7,131.71,146.38,16.98,0.39,7.21,17.61,7.63,0,256.5
2019,5,11,8.23,0.74,309.52,150.05,150.62,19.27,0.45,8.19,20.26,7.08,0,186.69
2019,5,12,8.2,0.74,329.52,150.2,150.55,19.2,0.45,8.17,23.9,7.45,0,172.69
2019,5,13,8.34,0.75,327.02,151.07,151.2,19.34,0.47,8.32,24.63,7.75,0,207.38
2019,5,14,8.31,0.74,328.29,147.52,148.51,18.77,0.46,8.24,27.05,7.75,0,173
2019,5,15,8.07,0.71,342.98,141.89,144.08,17.95,0.45,7.92,27.89,8.91,0,173.38
2019,5,16,8.11,0.72,340.73,144.81,146.12,18.34,0.45,8,26.66,9.89,0,215.62
2019,5,17,7.85,0.69,351.99,141.09,143.73,17.93,0.44,7.68,26.52,8.12,0,197.94
2019,5,18,8.54,0.76,318.53,155.01,155.56,20.04,0.45,8.48,23.43,7.93,0,269
2019,5,19,8.49,0.76,315.23,153.55,154.04,19.73,0.45,8.43,22.81,7.51,0,289.38
2019,5,20,8.25,0.73,331.52,149.62,150.74,19.12,0.45,8.15,23.86,8.73,0,192.44
2019,5,21,8.02,0.71,349.48,146.06,146.86,18.5,0.43,7.94,27.26,8.48,0,195.69
2019,5,22,7.98,0.69,367.37,142.54,145.98,18.07,0.45,7.76,29.42,8.18,0,174.06
2019,5,23,7.58,0.65,393.35,133.95,138.12,16.67,0.41,7.32,31.28,7.87,0,143.62
2019,5,24,7.74,0.58,387.76,119.38,140.97,15.03,0.39,6.5,30.25,8.42,0,205.12
